threshold,topN,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.7,Top80,0.9994446960507674,0.0003876868010389,0.9994446960507674,0.0003876868010389,0.9724300753373128,0.010508774864104,0.9841359773371104,0.002533788076487,0.0,0.0,0.8800000000000001,0.0,0.9653333333333334,0.0029814239699997,0.9820069204152247,0.001547451887543
0.7,Top15,0.9985192040721887,0.0033111603553907,0.9985192040721887,0.0033111603553907,0.9843821155487348,0.0144199819763598,0.9824362606232296,0.0330608373051449,0.6,0.4346134936801766,0.92,0.116619037896906,0.9626666666666668,0.0688960569747404,0.9799307958477508,0.0372996899050847
0.85,Top25,0.9997225187026458,0.0002533083426009,0.9997225187026458,0.0002533083426009,0.9709569167855026,0.0107717344866091,0.9824362606232296,0.0098947587515993,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9613333333333334,0.0218072363117281,0.9799307958477508,0.0113186347638727
0.8,Top50,0.9986105926452196,0.002404514323062,0.9986105926452196,0.002404514323062,0.9709737560119484,0.0115391693104033,0.9818696883852692,0.0142490383455629,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9613333333333334,0.0314112506383727,0.9799307958477508,0.0163034172863525
0.8,Top60,0.99842690819543,0.0025470684731072,0.99842690819543,0.0025470684731072,0.9709706863382674,0.0122444554280871,0.9818696883852692,0.0150701825249522,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9613333333333334,0.0331327297061045,0.9799307958477508,0.0171969185325801
0.85,Top20,0.9973176641588872,0.0008283185341843,0.9973176641588872,0.0008283185341843,0.962715331605269,0.0138271349441348,0.9818696883852692,0.0093097318556119,0.0666666666666666,0.1490711984999859,0.8880000000000001,0.0178885438199983,0.9586666666666668,0.0223109340409087,0.9785467128027682,0.0115800695714057
0.8,Top100,0.9990746650079252,0.0005672920851227,0.9990746650079252,0.0005672920851227,0.9635040197088316,0.0107522124911005,0.9813031161473088,0.002533788076487,0.0,0.0,0.8800000000000001,0.0,0.9613333333333334,0.0055777335102271,0.979930795847751,0.0028950173928514
0.8,Top90,0.9986120896958984,0.0016031321977596,0.9986120896958984,0.0016031321977596,0.9612789211800316,0.0052819493116784,0.9807365439093484,0.0050675761529739,0.0,0.0,0.8800000000000001,0.0,0.96,0.0124721912892464,0.9792387543252594,0.00647345568646
0.85,Top30,0.9994448237632202,0.0003873453518142,0.9994448237632202,0.0003873453518142,0.9664870041948792,0.0096328370903094,0.979603399433428,0.0085924934210216,0.0,0.0,0.8800000000000001,0.0,0.9546666666666668,0.0184992492340154,0.9764705882352942,0.0096016864536412
0.8,Top70,0.998795345305368,0.001252749359014,0.998795345305368,0.001252749359014,0.9657877654795368,0.0070781058931344,0.9790368271954676,0.0126054365219756,0.0666666666666666,0.1490711984999859,0.8880000000000001,0.0178885438199983,0.9546666666666668,0.0264154836748787,0.9764705882352942,0.0137104586547812
