threshold,topN,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.7,Top120,601.8,7.293833011524177,601.8,7.293833011524177,52.4,6.542170893518451,21.4,4.878524367060187,0.8,0.8366600265340756,4.0,1.8708286933869707,14.4,3.911521443121589,20.8,4.494441010848846
0.7,Top130,602.8,7.981227975693966,602.8,7.981227975693966,52.6,6.58027355054484,20.6,5.941380311005179,0.4,0.5477225575051662,4.6,2.9664793948382653,13.6,4.8270073544588685,20.0,5.522680508593631
0.7,Top140,602.4,8.01872807869178,602.4,8.01872807869178,52.8,6.797058187186572,18.6,5.128352561983235,0.6,0.5477225575051661,3.2,3.1144823004794873,11.8,4.764451699828638,18.0,4.847679857416329
0.7,Top15,517.0,53.84236250388721,517.0,53.84236250388721,49.6,8.324662155306964,31.0,16.852299546352718,4.0,2.5495097567963922,14.6,9.262828941527529,24.4,14.943225890014512,30.8,16.46815108019112
0.7,Top20,501.0,21.365860619221493,501.0,21.365860619221493,46.4,5.029910535983716,21.0,9.797958971132712,2.6,1.51657508881031,9.0,5.0,15.6,9.262828941527529,21.0,9.797958971132712
0.7,Top25,515.6,17.501428513124303,515.6,17.501428513124303,44.6,7.569676347110224,17.4,7.987490219086343,1.4,0.8944271909999159,5.6,3.361547262794322,12.4,7.893034904268446,17.4,7.987490219086343
0.7,Top30,527.2,18.88650311730576,527.2,18.88650311730576,45.6,6.8044103344816,17.2,5.761944116355173,1.0,0.0,4.6,1.816590212458495,12.0,5.958187643906492,17.0,5.958187643906493
0.7,Top40,541.8,22.731036052058865,541.8,22.731036052058865,45.2,6.685805860178712,11.8,3.7013511046643495,0.8,0.4472135954999579,2.2,0.8366600265340756,7.2,3.1144823004794873,11.8,3.7013511046643495
0.7,Top50,563.8,44.8854096561455,563.8,44.8854096561455,46.6,10.358571330062848,18.4,11.588787684654509,1.0,1.0,3.6,4.277849927241488,12.8,8.613942186943213,18.0,11.045361017187261
0.7,Top60,573.0,26.429150572805025,573.0,26.429150572805025,48.0,9.027735042633894,20.2,11.476062042355817,1.2,1.6431676725154984,3.8,5.357238094391549,13.2,9.67987603226405,19.8,10.986355173577815
0.7,Top70,595.0,12.980754985747161,595.0,12.980754985747161,50.0,6.519202405202649,20.0,8.093207028119323,1.0,0.0,2.8,1.4832396974191326,13.0,5.244044240850758,19.6,7.569676347110225
0.7,Top80,600.2,5.848076606885388,600.2,5.848076606885388,52.0,6.324555320336759,24.2,4.024922359499621,1.2,0.4472135954999579,4.2,2.16794833886788,16.6,2.408318915758459,23.8,3.4928498393145966
0.7,Top90,600.4,7.503332592921622,600.4,7.503332592921622,51.2,6.1400325732035,22.4,2.5099800796022267,1.0,0.7071067811865476,3.6,2.4083189157584592,15.2,1.7888543819998317,22.0,2.0
0.8,Top10,588.2,20.632498636859292,588.2,20.632498636859292,58.0,7.0,56.8,13.791301606447451,6.4,2.0736441353327724,26.0,4.847679857416329,47.0,11.726039399558575,56.2,13.255187663703598
0.8,Top100,604.6,7.197221686178641,604.6,7.197221686178641,55.0,6.324555320336759,30.2,6.723094525588644,1.8,0.8366600265340756,7.0,2.9154759474226504,21.2,5.585696017507576,29.6,6.3874877690685254
0.8,Top120,604.4,7.368853370776218,604.4,7.368853370776218,55.0,7.176350047203662,32.6,5.683308895353129,2.0,0.7071067811865476,7.6,3.361547262794322,23.8,4.3817804600413295,32.0,5.1478150704934995
0.8,Top130,604.4,7.368853370776218,604.4,7.368853370776218,54.8,5.118593556827892,32.6,6.228964600958975,3.4,1.3416407864998738,9.4,4.33589667773576,23.6,5.319774431308154,31.8,6.016643582596529
0.8,Top140,604.4,7.368853370776218,604.4,7.368853370776218,56.0,5.477225575051661,30.6,5.94138031100518,1.8,1.0954451150103324,6.8,3.420526275297414,21.6,5.504543577809154,30.0,5.477225575051661
0.8,Top15,565.4,24.684002916869055,565.4,24.684002916869055,54.8,7.5960516059331775,45.0,10.63014581273465,4.4,2.5099800796022267,19.6,5.319774431308154,36.8,9.654014708917735,44.8,10.232301793829187
0.8,Top20,563.2,12.029131306956462,563.2,12.029131306956462,53.4,7.092249290598858,37.0,7.483314773547883,3.4,1.3416407864998738,15.2,3.6331804249169894,29.4,7.197221686178632,37.0,7.483314773547883
0.8,Top25,572.6,12.953763931769021,572.6,12.953763931769021,52.0,6.59545297913646,35.0,9.0,3.4,1.3416407864998738,12.6,5.412947441089743,27.0,8.18535277187245,35.0,9.0
0.8,Top30,579.4,11.37101578575986,579.4,11.37101578575986,52.2,7.049822692805827,36.6,7.635443667528431,3.4,1.3416407864998738,12.6,5.319774431308154,28.6,6.913754406977442,36.4,7.536577472566709
0.8,Top40,585.2,13.367871932360814,585.2,13.367871932360814,51.8,7.694153624668538,27.2,3.701351104664349,1.8,0.8366600265340756,7.2,1.7888543819998317,19.6,2.8809720581775866,26.8,3.193743884534263
0.8,Top50,593.0,18.261982367749674,593.0,18.261982367749674,52.2,7.981227975693965,32.0,10.319883720275147,2.6,1.51657508881031,8.8,5.585696017507576,23.6,8.532291603080617,31.6,9.787747442593725
0.8,Top60,596.0,11.40175425099138,596.0,11.40175425099138,53.2,8.526429498916883,30.4,11.631852818876277,1.8,1.3038404810405297,6.6,6.024948132556827,21.2,10.47377677822093,29.8,11.256109452204168
0.8,Top70,602.2,9.36482781475453,602.2,9.36482781475453,55.6,7.021395872616783,31.4,8.41427358718505,2.0,1.224744871391589,6.4,4.61519230368573,22.0,8.154753215150045,30.8,8.04363102087608
0.8,Top80,605.0,7.141428428542845,605.0,7.141428428542845,56.0,6.59545297913646,36.6,4.098780306383841,2.2,1.3038404810405297,7.4,4.39317652729776,26.6,4.159326868617084,36.0,3.807886552931955
0.8,Top90,604.6,7.197221686178641,604.6,7.197221686178641,55.6,7.26636084983398,33.2,5.805170109479998,2.0,1.0,6.4,4.03732584763727,23.6,5.9833101206606365,32.6,5.549774770204644
0.85,Top10,596.8,11.966620241321266,596.8,11.966620241321266,62.0,6.892024376045111,64.0,6.633249580710799,8.0,0.0,29.6,1.6733200530681513,53.8,5.215361924162119,63.4,6.148170459575757
0.85,Top100,605.0,6.964194138592054,605.0,6.964194138592054,58.6,4.929503017546495,36.6,6.50384501660364,3.0,1.4142135623730951,9.6,3.646916505762094,26.6,6.066300355241242,35.8,6.260990336999411
0.85,Top120,604.4,7.368853370776218,604.4,7.368853370776218,58.2,6.457553716385176,38.4,6.348228099241552,3.2,1.3038404810405297,10.2,4.711687595755899,28.6,6.2289646009589745,37.8,5.890670590009257
0.85,Top130,605.4,6.804410334481597,605.4,6.804410334481597,58.4,5.412947441089743,39.4,7.829431652425353,3.4,1.3416407864998738,11.2,5.403702434442518,29.4,7.797435475847172,38.6,7.6681158050723255
0.85,Top140,604.6,7.300684899377589,604.6,7.300684899377589,59.0,6.442049363362562,36.4,8.17312669668102,2.6,1.51657508881031,8.4,4.505552130427524,26.0,7.44983221287567,35.4,7.668115805072325
0.85,Top15,584.0,14.560219778561036,584.0,14.560219778561036,58.8,6.220932405998316,52.8,9.038805230781334,5.6,1.9493588689617927,23.4,4.8270073544588685,43.6,8.532291603080617,52.6,8.677557259966656
0.85,Top20,586.8,8.167006795638164,586.8,8.167006795638164,56.6,7.503332592921628,48.6,6.268971207462991,4.8,1.4832396974191326,19.8,3.6331804249169894,39.4,6.268971207462992,48.4,6.348228099241551
0.85,Top25,591.4,8.080841540334768,591.4,8.080841540334768,55.8,8.28854631404084,43.4,8.142481194328912,3.4,1.3416407864998738,15.4,4.669047011971501,33.4,7.503332592921628,43.0,7.7781745930520225
0.85,Top30,594.6,8.648699324175864,594.6,8.648699324175864,55.6,7.797435475847171,45.4,6.58027355054484,3.6,0.8944271909999159,15.0,4.0,35.2,5.93295878967653,45.0,6.244997998398398
0.85,Top40,596.6,7.987490219086346,596.6,7.987490219086346,54.8,7.854934754662192,38.8,7.362064927722384,3.4,1.3416407864998738,12.0,4.69041575982343,29.2,6.760177512462229,38.6,7.3006848993775915
0.85,Top50,599.4,11.991663771137013,599.4,11.991663771137013,55.2,6.797058187186571,41.0,9.617692030835673,3.6,1.51657508881031,12.6,6.9498201415576215,31.4,8.677557259966655,40.4,9.126883367283709
0.85,Top60,600.8,8.043631020876079,600.8,8.043631020876079,55.8,8.258329128825032,39.2,10.52140675005011,2.8,1.7888543819998317,10.8,7.049822692805827,29.0,9.82344135219425,38.6,10.21273714534943
0.85,Top70,603.4,8.988882021697691,603.4,8.988882021697691,57.2,6.870225614927067,39.4,8.203657720797473,2.6,1.3416407864998738,9.2,4.494441010848846,28.6,7.092249290598858,38.6,7.46993975879324
0.85,Top80,605.2,7.049822692805834,605.2,7.049822692805834,58.4,6.066300355241241,44.0,4.472135954999579,3.2,1.3038404810405297,11.0,4.123105625617661,33.2,4.658325879540847,43.2,4.381780460041329
0.85,Top90,605.0,6.964194138592054,605.0,6.964194138592054,58.2,6.058052492344383,38.8,5.932958789676531,3.0,1.2247448713915892,8.6,4.61519230368573,28.6,6.06630035524124,38.2,5.805170109479997
0.9,Top10,602.4,8.324662155306969,602.4,8.324662155306969,65.2,7.52994023880668,70.2,4.969909455915671,8.0,0.0,30.8,1.7888543819998317,58.8,3.768288736283354,69.0,4.3011626335213125
0.9,Top100,605.8,7.049822692805825,605.8,7.049822692805825,61.4,4.979959839195493,46.0,6.2048368229954285,3.6,0.8944271909999159,14.0,3.7416573867739413,35.0,4.949747468305833,45.0,5.522680508593631
