model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,MorganFP,0.956085229324666,0.0038525490366469826,0.956085229324666,0.0038525490366469826,0.8749279538904899,0.01282339796039596,0.8263636363636364,0.011983114842240067,0.16666666666666663,0.10206207261596575,0.43809523809523804,0.05678902799999465,0.7076923076923076,0.017111013937727636,0.8010695187165776,0.01422399580563679
log,Path,0.7306608884073673,0.005897779778760687,0.7306608884073673,0.005897779778760687,0.7521613832853026,0.019224299804216624,0.639090909090909,0.027338934788537446,0.25,0.0,0.35238095238095235,0.04108628287474537,0.40452488687782806,0.04299833128761843,0.5877005347593582,0.03154626995455107
log,PharmacoErGFP,0.8440592271578187,0.008052720105261838,0.8440592271578187,0.008052720105261838,0.8138328530259367,0.02123588867658852,0.7559090909090909,0.025133938728998648,0.3833333333333333,0.11180339887498952,0.6158730158730158,0.04404583150956068,0.6208144796380091,0.037776708533469365,0.7294117647058823,0.027554380808531006
log,PharmacoPFP,0.841459010473095,0.00683788235058201,0.841459010473095,0.00683788235058201,0.8063400576368875,0.01838517338067613,0.6759090909090909,0.02823126161246437,0.0833333333333333,0.0,0.2761904761904762,0.04969039949999534,0.4923076923076922,0.034371274234991755,0.6411764705882353,0.02906947149716981
log,Property,0.7433730588660167,0.0054864944788249655,0.7433730588660167,0.0054864944788249655,0.7423631123919309,0.01573180871925782,0.6413636363636364,0.014676258446329925,0.0833333333333333,0.0,0.22539682539682532,0.017388017698576674,0.4280542986425339,0.03045487542165401,0.6016042780748663,0.018232863231264537
log,PubChemFP,0.8685446009389672,0.004437777438585943,0.8685446009389672,0.004437777438585943,0.8328530259365994,0.02749104326849984,0.6372727272727273,0.009315409787235997,0.0833333333333333,0.0,0.23174603174603167,0.03654242677213125,0.36018099547511306,0.01586939177986441,0.5770053475935828,0.010761824490640738
log,RDkitFP,0.9882990249187433,0.0009417410480610793,0.9882990249187433,0.0009417410480610793,0.8910662824207491,0.012627609394931807,0.8163636363636364,0.013387887704566474,0.11666666666666663,0.045643546458763826,0.33968253968253964,0.030942204269234806,0.6968325791855203,0.014308948688544664,0.7903743315508021,0.014349099320854274
log,Topology,0.749223546406645,0.0035987499222399446,0.749223546406645,0.0035987499222399446,0.7504322766570606,0.029642399701726305,0.6663636363636364,0.0133878877045665,0.1666666666666666,0.0,0.32698412698412693,0.018098022620621268,0.45339366515837104,0.025071303488135868,0.6229946524064172,0.01488707048885033
log,TorsionFP,0.9082701336222463,0.0038304809381720217,0.9082701336222463,0.0038304809381720217,0.8680115273775216,0.014176799857347343,0.7545454545454545,0.034053009235844735,0.03333333333333332,0.045643546458763826,0.365079365079365,0.035493142499996674,0.5909502262443439,0.0405476322483617,0.718716577540107,0.03862687928295432
rf,AtomPairFP,0.9934994582881908,0.0013269175204676026,0.9934994582881908,0.0013269175204676026,0.9106628242074928,0.018564983756088053,0.8259090909090909,0.009854310631217634,0.0833333333333333,0.0,0.4888888888888888,0.039523490787265844,0.6886877828054299,0.01514316790106924,0.8026737967914439,0.01092663996882488
